Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/users,2,0,370.0,599.176207993878,365.9590409952216,832.3933749925345,1054.0,2.401462300948291,0.0,830,830,830,830,830,830,830,830,830,830,830
,Aggregated,2,0,370.0,599.176207993878,365.9590409952216,832.3933749925345,1054.0,2.401462300948291,0.0,830,830,830,830,830,830,830,830,830,830,830
